kind,journal_mode,size_class,buy_kind,signature,slot,block_time_utc,wallet,mint,spend_sol,index_in_block,block_tx_count,next_block_slot,sandwich,n_attackers,attacker,attacker_is_source,attacker_known_as,front_sig,back_sig,back_where,attacker_entry_sol,attacker_exit_sol,attacker_entry_usd,attacker_exit_usd,attacker_profit_sol,same_pool,quote_mint,price_before,our_price,loss_pp,front_vs_before_pp,all_attackers,why_no_data
ours,live-test,test_0.001,first_entry,4jPfUpVAWTd46yFaVHqKVxLkojPPA4YV7UN9JHaK2eh4HoFReZMUAbKzoyqY55TRkJTbBNnkEiFp5tNxyinxAbPE,449861103,2026-09-24T00:07:05Z,4s87RRC2V2XAJD6R8U2dP8kQH99Z2wA6fg88ZVfV4j4N,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,0.00598688,371,1323,449861104,нет,0,,,,,,,,,,,,,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,0.03521368033815411365164473262,,,,
ours,live-test,test_0.001,first_entry,5Pf6CNG64mBCDdTyB8ZkhSpZ6fk64TU3xwxpnmBPayHh5KEAeRZbUVHq5FELy76532jygM6XHxGY2WsWQ4JyNpHV,449864247,2026-09-24T00:21:06Z,4s87RRC2V2XAJD6R8U2dP8kQH99Z2wA6fg88ZVfV4j4N,4nV5gNwwP68zUDat26ySChREqVaQaLudfJBkSgEzpump,0.00584504,402,1074,449864248,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.00005182038365423776478619706720,,,,
ours,live-test,test_0.001,first_entry,2kHWD6R8wcULCWiRrJHqy9AyaGKJjn8mqzRDjuQ8d1a975LRMESqAB5jzTELudBjzcncTGLfbPgJTqX1nmZSZiKc,449870963,2026-09-24T00:50:48Z,4s87RRC2V2XAJD6R8U2dP8kQH99Z2wA6fg88ZVfV4j4N,65dw58ugEt3EN9uNuJ2CCyWz7SENe2hnVv9dNHyUjz8x,0.00764804,143,945,449870964,нет,0,,,,,,,,,,,,,4rkGWJNSUPBcMicXMRAzohEyeJLFG8gUjwiWaz7Pddr3,,0.02674351521940630381329059699,,,,
ours,live-test,test_0.001,first_entry,5rigEM8hcHfjG96WCYBTcYSvZsprzEnMkQUCdT7z5wckNRPYRL4cumYfzUPtiGukdeSyQFTxAyYa8VzfNZ9YW2Xe,449871318,2026-09-24T00:52:22Z,4s87RRC2V2XAJD6R8U2dP8kQH99Z2wA6fg88ZVfV4j4N,pkDFgCBnQi71DYjTe62k5T4UhoRguhjsCKqBPR3pump,0.00587004,89,1173,449871319,нет,0,,,,,,,,,,,,,native_sol,,8.965436080015426351673888361E-8,,,,
ours,live-test,test_0.001,first_entry,3dDU1RnxmFmU53fvSPA3QTZJfFnt6ieRhMGiQe3zGy8jXz8f9NqGoeHzNu4hS2Dia6YP19XzZCMD1h2CAtVvWPnm,449871539,2026-09-24T00:53:22Z,4s87RRC2V2XAJD6R8U2dP8kQH99Z2wA6fg88ZVfV4j4N,B5WTLaRwaUQpKk7ir1wniNB6m5o8GgMrimhKMYan2R6B,0.00449844,729,1070,449871540,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.00001127329830013091455849976028,,,,
ours,live-test,test_0.001,first_entry,2Bu2UUmDmCpA9S7PPjG6Z3TePtEBxaUxd5ymoA4eWeghFB66zY14KRxJmA3K9wj8uekw7S3W4J75SQ5yXwtCJ7Bw,449871673,2026-09-24T00:53:56Z,4s87RRC2V2XAJD6R8U2dP8kQH99Z2wA6fg88ZVfV4j4N,BVqb2eamVBmvLquyRfTfVUAdory9UNTVpe7madfMrMpE,0.00452384,1031,1097,449871674,нет,0,,,,,,,,,,,,,native_sol,,3.474839229053519106223456702E-8,,,,
ours,live-test,test_0.001,first_entry,o95YEg1s4rhi15Rs2tg6cdgTVShASFs78Xdr8jmzbh4X87hBn7dhCczUy3ni5g2LYcttQr4ybjhMzDJ9imyjc2J,449871766,2026-09-24T00:54:20Z,4s87RRC2V2XAJD6R8U2dP8kQH99Z2wA6fg88ZVfV4j4N,AWmyzwUhSDNbz8qLAnyPDjce9EuQuSVRgj2M9xWFtzL9,0.00452384,597,950,449871767,нет,0,,,,,,,,,,,,,native_sol,,3.201824299166025228457924244E-8,,,,
ours,live,0.05,first_entry,2nw5ckFcjKjk9RTXLJvjBhx3TGJ33W85yhkjJqtAJ4xDnadxRFrc2iizeBeQiWH67peJ8brfRfXuUQHb9Xwp3hNX,449889316,2026-09-24T02:12:01Z,4s87RRC2V2XAJD6R8U2dP8kQH99Z2wA6fg88ZVfV4j4N,87pa2UbBB2dhD4b7CHDPHzzKjrdrUtEcBHueXnVz6CJp,0.0571228,459,1533,449889317,нет,0,,,,,,,,,,,,,Xsa62P5mvPszXL1krVUnU5ar38bBSVcWAB6fmPCo5Zu,,1.882685227265845449079394889E-7,,,,
ours,live,0.05,first_entry,2Wj7hzfPeJnrTsK61UF47vcCf5NdgjCUmZpnLZEYJxJXwAGSRApVLXYZWqbjz6yuGJmBnNaM1qhrd6LraCYgCPrK,449908367,2026-09-24T03:36:11Z,4s87RRC2V2XAJD6R8U2dP8kQH99Z2wA6fg88ZVfV4j4N,Atf7KaBLF257KQosBM2rCxhhdRfDtRNnpwmUH4bkrMMV,0.0586976,1008,1065,449908368,нет,0,,,,,,,,,,,,,,,,,,,
ours,live,0.05,first_entry,2Jz9mZFVV8qfb7vLsNz98wzstXT61GrW6XueUKVt2xLLrNVXDosVR2DYkjEr8JivQGbUTPS6LocFfimeJyjaEsr8,449909529,2026-09-24T03:41:18Z,4s87RRC2V2XAJD6R8U2dP8kQH99Z2wA6fg88ZVfV4j4N,Du2r1SrGZMjw6e8Fr6dVFz9qf4zW66LeSRV13w69GX7h,0.05556324,373,1206,449909530,нет,0,,,,,,,,,,,,,,,,,,,
