t,o,h,l,c
1788526800000,64.304,65.384,64.049,65.329
1788530400000,65.329,65.747,61.825,62.039
1788534000000,62.039,62.752,62,62.286
1788537600000,62.286,62.796,62.085,62.547
1788541200000,62.547,62.547,62.007,62.211
1788544800000,62.211,62.291,61.754,62.172
1788548400000,62.172,62.607,61.997,62.38
1788552000000,62.38,62.399,62.072,62.149
1788555600000,62.149,62.231,62.095,62.216
1788559200000,62.216,62.276,62.182,62.267
1788562800000,62.267,62.276,62.18,62.206
1788566400000,62.206,62.208,61.958,61.958
1788570000000,61.958,62.08,61.952,62.076
1788573600000,62.076,62.109,62.049,62.065
1788577200000,62.065,62.065,61.994,62.006
1788580800000,62.006,62.084,61.94,62.084
1788584400000,62.084,62.154,62.079,62.148
1788588000000,62.148,62.195,62.139,62.194
1788591600000,62.194,62.195,62.145,62.165
1788595200000,62.165,62.165,62.061,62.081
1788598800000,62.081,62.213,62.066,62.213
1788602400000,62.213,62.271,62.185,62.271
1788606000000,62.271,62.36,62.271,62.36
1788609600000,62.36,62.372,62.343,62.362
1788613200000,62.362,62.385,62.328,62.334
1788616800000,62.334,62.353,62.289,62.295
1788620400000,62.295,62.335,62.282,62.335
1788624000000,62.335,62.396,62.293,62.325
1788627600000,62.325,62.463,62.325,62.438
1788631200000,62.438,62.485,62.386,62.485
1788634800000,62.485,62.494,62.45,62.461
1788638400000,62.461,62.486,62.361,62.368
1788642000000,62.368,62.479,62.368,62.479
1788645600000,62.479,62.532,62.479,62.516
1788649200000,62.516,62.566,62.462,62.553
1788652800000,62.553,62.582,62.519,62.578
1788656400000,62.578,62.65,62.577,62.637
1788660000000,62.637,62.64,62.588,62.608
1788663600000,62.608,62.683,62.512,62.676
1788667200000,62.676,62.676,62.514,62.521
1788670800000,62.521,62.683,62.521,62.67
1788674400000,62.67,62.696,62.599,62.631
1788678000000,62.631,62.64,62.471,62.547
1788681600000,62.547,62.56,62.537,62.55
1788685200000,62.55,62.708,62.538,62.663
1788688800000,62.663,63.004,62.656,62.993
1788692400000,62.993,63.052,62.989,63.015
1788696000000,63.015,63.121,62.999,63.094
